SampleID,Sex,Species_Scel,Season,Diet,Elevation,SeqDepth ,Weight,SVL,TL,Tb ,Ta ,Ts ,Location
Sb.M.D.38,Male,Sceloporus bicanthalis,Dry,13,2712,7196,2.4,40,87,NA,23,23.6,Low_zone
Sb.F.D.39,Female,Sceloporus bicanthalis,Dry,14,2712,8204,1.7,38,81,NA,23,23.6,Low_zone
Sb.M.D.43,Male,Sceloporus bicanthalis,Dry,5,2712,5136,6.1,55,82,NA,23,23.6,Low_zone
Sb.F.D.45,Female,Sceloporus bicanthalis,Dry,8,2712,6259,1.4,35,78,NA,23,23.6,Low_zone
Sb.M.D.46,Male,Sceloporus bicanthalis,Dry,7,2712,2715,4.9,51,99,NA,23,23.6,Low_zone
Sb.M.R.85,Male,Sceloporus bicanthalis,Rainy,3,4150,21341,3.6,40,124,23.2,19.2,18.3,High_zone
Sb.M.R.86,Male,Sceloporus bicanthalis,Rainy,8,4029,13556,1.4,36,81,26.7,19.2,18.3,High_zone
Sb.F.R.88,Female,Sceloporus bicanthalis,Rainy,6,4029,17720,1.2,34,72,24.6,16.2,17.9,High_zone
Sb.F.R.90,Female,Sceloporus bicanthalis,Rainy,5,4029,32188,2.1,36,84,24.6,12.1,8.6,High_zone
Sb.M.R.91,Male,Sceloporus bicanthalis,Rainy,14,4029,25566,1.1,36,62,25.2,15,14.6,High_zone
Sb.F.R.92,Female,Sceloporus bicanthalis,Rainy,12,4029,23459,1,29,62,22.5,13.5,12.6,High_zone
Sb.M.R.93,Male,Sceloporus bicanthalis,Rainy,1,4118,33949,1.2,34,72,24.3,12.2,11.6,High_zone
Sb.M.R.94,Male,Sceloporus bicanthalis,Rainy,4,4029,18048,1.2,31,71,21.3,10.1,10.6,High_zone
Sb.F.R.97,Female,Sceloporus bicanthalis,Rainy,7,4029,27555,3.3,46,96,22,12.5,15.3,High_zone
Sb.M.R.98,Male,Sceloporus bicanthalis,Rainy,1,4029,24455,1.4,36,77,22.6,13.6,13.3,High_zone
Sb.F.R.99,Female,Sceloporus bicanthalis,Rainy,3,4029,43871,1.9,38,85,23.1,13.6,13.3,High_zone
