OTUID,Ss.M.D.16,Ss.M.D.17,Ss.M.D.18,Ss.F.D.19,Ss.M.D.20,Ss.F.D.21,Ss.M.D.22,Ss.F.D.25,Ss.M.R.52,Ss.M.R.54,Ss.M.R.55,Ss.M.R.59,Ss.M.R.60,Ss.M.R.61,Ss.M.R.74,Ss.M.R.75
248ff6b53f1910b404eeec4ef165a29f35bccec3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2491116e71e579025ee4f0af40c367266666854d,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2510abd29b6f6dbb4959826ae165a2dbcd1f2b73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25294e3c0cff055bebaeca60c89fb8bef9495766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2618327e08d3816f27e66c9d336d7455efc86902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267077217a48079c8d73be08563c761f6e02ab61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26cceb5ff06b8c4a92f51812c33fdfa7b6ffee62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
26d8e03d6c6f6a424f817da7bafa842e570bdfce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26ded6d428949b2b5a61ad80f96ec01aa4539eed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27687cdb363b8a4d31a35c6aded4e1078a6ea6fc,0,1,0,0,0,0,13,4,0,0,0,0,0,0,0,0
27b38ae5a4d2995654062458f2e7a8ec34b19ebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2904f54c96c47a4d1c29f1083bab48357d07e916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29d07bd172a8f4052da3a280c4db921eb894737a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2aa811fb2c0a5362498d74b0ffa4924b5cb66ee5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ac022946fba1b870c3b43e1de259db0812eb61f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b63b4e1433bde14608963a2247f9f41cd314edb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c2ed40ba36225bf2afcbdb894163b2b0b632713,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2c8a4b269544e5531a112631df6ec802fc8378c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d2bf9aebc0699032561aaaa90653d6a7624aa3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2de2c17b5e80305b2892af613c47f83ad906bf2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e32899579233e26e0dd3a970c9566e4f8f10c48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e37d84275e3b460bc3c09b28b0b8e6105bd0bfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30bfcedf4c649290160f1decf49479873c26b645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3234260971700ec36acfbb0ec244a27f208097c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3272f63fe245229d741815a00c166cc9a9e85266,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33aa5994e1e6cfe381c561ade0bb2edfb07f32fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33f5694af7e5d133ef4962d40c791e11837dd5c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345dff41a0479bfeca3253aa2179cdee158d5683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361de2ddb54bdc754b8506975fdf05c0a3055e1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36396c899b32541f99cba64f2e59b82c38e1b897,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3646b6922a800b038eabae597c3422a6e86d3e55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
